title,company,location,date,url,department,workplace_type,level,source,position_type
מרכז/ת בכיר/ה תכנון סביבתי למחוז דרום - המשרד להגנת הסביבה,לוגו-המשרד-להגנת-הסביבה,באר שבע,2026-05-25,https://hujicareer.co.il/jobs/%d7%9e%d7%a8%d7%9b%d7%96-%d7%aa-%d7%91%d7%9b%d7%99%d7%a8-%d7%94-%d7%aa%d7%9b%d7%a0%d7%95%d7%9f-%d7%a1%d7%91%d7%99%d7%91%d7%aa%d7%99-%d7%9c%d7%9e%d7%97%d7%95%d7%96-%d7%93%d7%a8%d7%95%d7%9d-%d7%94/,,onsite,junior,huji,
מנחות ומנחים להעברת סדנאות למיניות מיטיבה ומניעת אלימות מינית,HUJI Career,ירושלים,2026-05-25,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%97%d7%95%d7%aa-%d7%95%d7%9e%d7%a0%d7%97%d7%99%d7%9d-%d7%9c%d7%94%d7%a2%d7%91%d7%a8%d7%aa-%d7%a1%d7%93%d7%a0%d7%90%d7%95%d7%aa-%d7%9c%d7%9e%d7%99%d7%a0%d7%99%d7%95%d7%aa-%d7%9e%d7%99/,,onsite,junior,huji,
דרוש.ה מוביל-ת AI,EY_logo_2019.svg,תל אביב,2026-05-24,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%9e%d7%95%d7%91%d7%99%d7%9c-%d7%aa-ai/,,onsite,junior,huji,
דרוש.ה Applied AI Solution Lead,EY_logo_2019.svg,תל אביב,2026-05-24,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-applied-ai-solution-lead/,,onsite,junior,huji,
סטודנט/ית למשרת מפעיל/ת טלפרומפטר וכותרות (CG),LOGO 10,ירושלים,2026-05-24,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9e%d7%a9%d7%a8%d7%aa-%d7%9e%d7%a4%d7%a2%d7%99%d7%9c-%d7%aa-%d7%98%d7%9c%d7%a4%d7%a8%d7%95%d7%9e%d7%a4%d7%98%d7%a8-%d7%95%d7%9b%d7%95%d7%aa-3/,,onsite,junior,huji,
סטודנט/ית למשרת תחקירן/ית בכאן חדשות,LOGO 10,ירושלים,2026-05-24,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9e%d7%a9%d7%a8%d7%aa-%d7%aa%d7%97%d7%a7%d7%99%d7%a8%d7%9f-%d7%99%d7%aa-%d7%91%d7%9b%d7%90%d7%9f-%d7%97%d7%93%d7%a9%d7%95%d7%aa/,,onsite,junior,huji,
למרכז הרפואי שיבא דרוש/ה רוקח/ת למערך שירותי הרוקחות,images,רמת גן,2026-05-24,https://hujicareer.co.il/jobs/%d7%9c%d7%9e%d7%a8%d7%9b%d7%96-%d7%94%d7%a8%d7%a4%d7%95%d7%90%d7%99-%d7%a9%d7%99%d7%91%d7%90-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a8%d7%95%d7%a7%d7%97-%d7%aa-%d7%9c%d7%9e%d7%a2%d7%a8%d7%9a-%d7%a9%d7%99/,,onsite,junior,huji,
"Policy Intern, Ethical and Humane Use Policy",Salesforce.com_logo,תל אביב,2026-05-24,https://hujicareer.co.il/jobs/policy-intern-ethical-and-humane-use-policy/,,onsite,junior,huji,internship
אחראי/ת בטיחות מזון,logo,,2026-05-24,https://hujicareer.co.il/jobs/%d7%90%d7%97%d7%a8%d7%90%d7%99-%d7%aa-%d7%91%d7%98%d7%99%d7%97%d7%95%d7%aa-%d7%9e%d7%96%d7%95%d7%9f/,,onsite,junior,huji,
טכנולוג/ית- מחקר ופיתוח,logo,,2026-05-24,https://hujicareer.co.il/jobs/%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92-%d7%99%d7%aa-%d7%9e%d7%97%d7%a7%d7%a8-%d7%95%d7%a4%d7%99%d7%aa%d7%95%d7%97/,,onsite,junior,huji,
מדריכ/ה Python - פריסה ארצית,budi_logo,,2026-05-20,https://hujicareer.co.il/jobs/%d7%9e%d7%93%d7%a8%d7%99%d7%9b-%d7%94-python-%d7%a4%d7%a8%d7%99%d7%a1%d7%94-%d7%90%d7%a8%d7%a6%d7%99%d7%aa/,,onsite,junior,huji,
סטודנט/ית להנדסה- מכניקה ואלקטרוניקה,kratos-sq,ירושלים,2026-05-20,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%94%d7%a0%d7%93%d7%a1%d7%94-%d7%9c%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98-%d7%94%d7%a8%d7%9b%d7%91%d7%94-%d7%a9%d7%9c-%d7%9e%d7%9b%d7%a9%d7%99/,,onsite,junior,huji,
"עוזר/ת אדמיניסטרטיבית ביחידה להוראת עברית - ביה""ס לתלמידי חו""ל",HUJI Career,ירושלים,2026-05-20,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%90%d7%93%d7%9e%d7%99%d7%a0%d7%99%d7%a1%d7%98%d7%a8%d7%98%d7%99%d7%91%d7%99%d7%aa-%d7%91%d7%99%d7%97%d7%99%d7%93%d7%94-%d7%9c%d7%94%d7%95%d7%a8%d7%90%d7%aa-%d7%a2/,,onsite,junior,huji,
מנהל/ת דיגיטל לחברה הערבית הרשות הלאומית לבטיחות בדרכים,download,ירושלים,2026-05-20,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c-%d7%9c%d7%97%d7%91%d7%a8%d7%94-%d7%94%d7%a2%d7%a8%d7%91%d7%99%d7%aa-%d7%94%d7%a8%d7%a9%d7%95%d7%aa-%d7%94%d7%9c%d7%90%d7%95%d7%9e/,,onsite,junior,huji,
סטודנט/ית סושיאל ותוכן דיגיטלי ליחידה להוראה ולמידה-המנהל האקדמי,HUJI Career,ירושלים,2026-05-20,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a1%d7%95%d7%a9%d7%99%d7%90%d7%9c-%d7%95%d7%aa%d7%95%d7%9b%d7%9f-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99-%d7%9c%d7%99%d7%97%d7%99%d7%93%d7%94/,,onsite,junior,huji,
דרוש/ה ביוטכנולוג/ית או אגרונום/ית דינמי/ת,images,,2026-05-20,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%91%d7%99%d7%95%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92-%d7%99%d7%aa-%d7%90%d7%95-%d7%90%d7%92%d7%a8%d7%95%d7%a0%d7%95%d7%9d-%d7%99%d7%aa-%d7%93%d7%99%d7%a0%d7%9e/,,onsite,junior,huji,
