title,company,location,url,date,deadline,department,description,requirements,position_type
קצין ביקור סדיר,תמר,תמר,https://namerz.moin.gov.il/showexternal/55576/2,2026-06-25,2026-07-09,חינוך,"רשות: תמר · מחוז: דרום · יחידה: חינוך · תחום: חינוך · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, הנדסאי / טכנאי · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 14/26",אקדמאית / חילופית בהתאם לחוק; הנדסאי / טכנאי,
מנהל יחידת גיל הרך,כפר כמא,כפר כמא,https://namerz.moin.gov.il/showexternal/55630/1,2026-06-23,2026-07-09,חינוך,רשות: כפר כמא · מחוז: צפון · יחידה: חינוך · תחום: חינוך · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-23 · מועד הגשה: 2026-07-09 · מספר מכרז: 6-26,אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת נוער,כפר כמא,כפר כמא,https://namerz.moin.gov.il/showexternal/55631/1,2026-06-23,2026-07-09,נוער תרבות וספורט,רשות: כפר כמא · מחוז: צפון · יחידה: נוער תרבות וספורט · תחום: נוער תרבות וספורט · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-23 · מועד הגשה: 2026-07-09 · מספר מכרז: 5-26,אקדמאית / חילופית בהתאם לחוק,
אחר,הערבה התיכונה,הערבה התיכונה,https://namerz.moin.gov.il/showexternal/55682/2,2026-06-24,2026-07-09,וועדות מרחביות לתכנון ובניה,"רשות: הערבה התיכונה · מחוז: דרום · יחידה: ועדות מרחביות לתכנון ובניה · תחום: וועדות מרחביות לתכנון ובניה · דירוג: 7-9 בדירוג מנהלי, או 37-39 בדירוג מח""ר · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 15/2026",אקדמאית / חילופית בהתאם לחוק,
אחר,רכסים,רכסים,https://namerz.moin.gov.il/showexternal/55689/1,2026-06-24,2026-07-09,ניהול כללי,רשות: רכסים · מחוז: חיפה · יחידה: ניהול כללי · תחום: ניהול כללי · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-24 · מועד הגשה: 2026-07-09 · מספר מכרז: 26/6,אקדמאית / חילופית בהתאם לחוק,
מנהל מינהלת התחדשות עירונית,כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55690/1,2026-06-25,2026-07-09,תוכניות לאומיות,"רשות: כפר סבא · מחוז: מרכז · יחידה: תוכניות לאומיות · תחום: תוכניות לאומיות · רמת השכלה: אדריכל / מהנדס, אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 76/26",אדריכל / מהנדס; אקדמאית / חילופית בהתאם לחוק,
מנהל יחידת גיל הרך,כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55691/1,2026-06-25,2026-07-09,חינוך,"רשות: כפר סבא · מחוז: מרכז · יחידה: הגנת הסביבה · תחום: חינוך · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 78/26",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
מנהל יחידת החינוך העל יסודי,כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55692/1,2026-06-25,2026-07-09,חינוך,"רשות: כפר סבא · מחוז: מרכז · יחידה: חינוך · תחום: חינוך · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 79/26",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
מנהל יחידת חירום ובטחון,כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55693/1,2026-06-25,2026-07-09,חירום ובטחון,רשות: כפר סבא · מחוז: מרכז · יחידה: חירום וביטחון · תחום: חירום ובטחון · רמת השכלה: אקדמאית / חילופית בהתאם לחוק · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 80/26,אקדמאית / חילופית בהתאם לחוק,
מנהל בית ספר תיכון,כפר סבא,כפר סבא,https://namerz.moin.gov.il/showexternal/55694/2,2026-06-25,2026-07-09,חינוך,"רשות: כפר סבא · מחוז: מרכז · יחידה: חינוך · תחום: חינוך · רמת השכלה: אקדמאית / חילופית בהתאם לחוק, קורסים נוספים כמפורט בקובץ · תאריך פרסום: 2026-06-25 · מועד הגשה: 2026-07-09 · מספר מכרז: 81/26",אקדמאית / חילופית בהתאם לחוק; קורסים נוספים כמפורט בקובץ,
