title,company,location,date,url,department,workplace_type
מנהל/ת המרכז הקדם אקדמי בטכניון,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=23717001,המרכז לחינוך קדם אקדמי,onsite
רכז/ת מנהלי/ת ביחידה לנוער שוחר מדע,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=23717014,המרכז לחינוך קדם אקדמי,onsite
"עוזר/ת למשנה לנשיא ומנכ""ל וראש לשכה",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=24217004,"לשכת המשנה לנשיא ומנכ""ל",onsite
רכז/ת מנהלי/ת,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=24410159,לימודי הסמכה,onsite
רכז/ת משאבי אנוש,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=24690006,מערך משאבי אנוש טכניון,onsite
רכז/ת ייעוץ והכוון אישי במדור מועמדים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=24797006,מועמדים והערכה,onsite
מהנדסת או מהנדס תקשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=25011004,מערך מחשוב ומערכות מידע,onsite
"רכז/ת שיווק קשרי נוער, תיכונים וצבא",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=25517072,יחידת השיווק,onsite
רכז/ת שיווק וקמפיינים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=25550031,יחידת השיווק,onsite
אדריכל/ית ומנהל/ת תכנון,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=25810074,אגף בינוי ותחזוקה,onsite
מומחה/ית מולטימדיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=26814002,המרכז לקידום הלמידה וההוראה,onsite
רכז/ת תשתיות ארגוניות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=27911001,מערך מחשוב ומערכות מידע,onsite
מיישמ/ת מערכות מידע לתחום מנהל תלמידים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=27911007,מערך מחשוב ומערכות מידע,onsite
מנהלת או מנהל אגף תשתיות ותפעול,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=27911043,מערך מחשוב ומערכות מידע,onsite
ראש אגף אבטחת מידע וסייבר טכניוני,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=27911048,מערך מחשוב ומערכות מידע,onsite
מפתח/ת DATAWAREHOUSE,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=27914005,מערך מחשוב ומערכות מידע,onsite
מנהל/ת מערכות גיבויים ושרידות עסקית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=27914024,מערך מחשוב ומערכות מידע,onsite
מפתח/ת AI באגף דיגיטל ודאטה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=27917004,מערך מחשוב ומערכות מידע,onsite
תומך/ת ויועץ/ת מחשוב עתיר ביצועים (HPC),הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=27950055,מערך מחשוב ומערכות מידע,onsite
לבורנט/ית למערך מעבדות הוראה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=29910169,היוזמה לבריאות האדם,onsite
מהנדס/ת מעבדה במערכות מרובות רובוטים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=49302050,הפקולטה להנדסת חשמל ומחשבים,onsite
"רכז/ת מנהלי/ת  של ה""הדריון""",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=50042940,הפקולטה לארכיטקטורה ובינוי ערים,onsite
רכז/ת מנהלי/ת תכנית ג'ייקובס טכניון,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=50052101,תכנית ג'קובס,onsite
רכז/ת פדגוגי/ת ביחידה לנוער שוחר מדע,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=50057513,המרכז לחינוך קדם אקדמי,onsite
"מנהל/ת מרכז הממציאים ע""ש מהודר בטכניון",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=50059366,לשכת משנה בכיר לנשיא,onsite
עובד/ת אחזקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-30,https://hr.technion.ac.il/positions/?jobid=50067498,הפקולטה לרפואה,onsite
