title,company,location,date,url,department,workplace_type
"Director, Solution Sales Engineering, Asia region (Philippines)",Parallel Wireless,Philippines,2025-07-22,https://jobs.lever.co/parallelwireless/cf88e5b9-354b-4579-bbcd-6408a70a08d6,401-Sales Africa/MENA/EU,remote
"Director, Solution Sales Engineering, Asia region (Singapore)",Parallel Wireless,Singapore,2025-07-22,https://jobs.lever.co/parallelwireless/d654396e-ad14-4391-9c94-dccfcde4a846,401-Sales Africa/MENA/EU,remote
"Director, Solution Sales Engineering, Pacific region (Fiji)",Parallel Wireless,Fiji,2025-07-22,https://jobs.lever.co/parallelwireless/3f811b61-e2ce-48d0-b503-7578b0b3df53,401-Sales Africa/MENA/EU,remote
"Director, Solution Sales Engineering, Pacific region (New Zealand)",Parallel Wireless,New Zealand,2026-02-10,https://jobs.lever.co/parallelwireless/2e18b10b-15f5-469b-a839-2869af44570f,401-Sales Africa/MENA/EU,remote
"Director, Solution Sales Engineering, Pacific region (PNG)",Parallel Wireless,PNG,2025-07-22,https://jobs.lever.co/parallelwireless/0390d44d-1c48-49f3-ae72-16516a3d42d9,401-Sales Africa/MENA/EU,remote
Payroll Accountant,Parallel Wireless,Kfar Saba,2026-04-20,https://jobs.lever.co/parallelwireless/c7546758-b8b9-4d76-a002-60f8436ad66d,610-Finance,hybrid
PHY Algorithms Senior Engineer - AI/ML,Parallel Wireless,Kfar Saba,2026-04-14,https://jobs.lever.co/parallelwireless/77c19dad-dbb2-40c6-818c-23ff52526fd6,348-RAT,hybrid
PHY System Engineer,Parallel Wireless,Kfar Saba,2020-10-19,https://jobs.lever.co/parallelwireless/d7f056ee-98d1-48ff-9164-1ec5fdac9af0,,hybrid
PHY System Team Leader,Parallel Wireless,Kfar Saba,2025-12-23,https://jobs.lever.co/parallelwireless/08381099-f5c2-4fd8-ac1c-a1b59368aac8,348-RAT,hybrid
Sales Director / Customer Executive - Pacific Region,Parallel Wireless,Pacific,2026-01-22,https://jobs.lever.co/parallelwireless/0ad79952-db29-46e4-a47d-a6fc5dc1a765,402-Sales APAC,remote
Sales Director / Customer Executive - Pacific Region,Parallel Wireless,Fiji,2026-01-21,https://jobs.lever.co/parallelwireless/123bd845-e78b-4377-852f-c106070fc3a2,402-Sales APAC,remote
Sales Director/ Customer Executive - South East Asia,Parallel Wireless,Malaysia,2026-01-22,https://jobs.lever.co/parallelwireless/c7e795fd-d5a5-48af-abfb-4fc11044636c,402-Sales APAC,remote
"Sr. Director, Platform",Parallel Wireless,Kfar Saba,2026-01-26,https://jobs.lever.co/parallelwireless/e615e732-e7ea-406c-938a-4632b189b7ba,347-RANOPS,hybrid
"System Architecture Team Lead (Platform, Cloud)",Parallel Wireless,Kfar Saba,2026-03-11,https://jobs.lever.co/parallelwireless/eaf8378b-46aa-4d6e-a73f-124f43cf2ece,347-RANOPS,hybrid
Create your own role,Twingate,Remote,2025-04-29,https://jobs.lever.co/twingate/c3f15f73-5725-4032-9e0b-bf8bf845f991,Future Roles,remote
Senior DevOps Engineer,Twingate,Remote,2026-04-27,https://jobs.lever.co/twingate/6c685d70-e482-439f-b38c-2ee386245064,DevOps,remote
Sr. Software Engineer Networking Team,Twingate,Remote (US or Israel),2022-06-14,https://jobs.lever.co/twingate/2e30c68a-0207-49e6-beb0-07a02bc7bba5,SDWAN,remote
"Technical Support Engineer, L1/L2",Twingate,"Remote, (East Coast preferred)",2026-04-22,https://jobs.lever.co/twingate/603ad0f4-09b4-4da5-ab5a-2f334bc833fa,Technical Support,remote
