title,company,location,department,description,url,date_posted,first_seen,source
מנהל.ת מחלקת חיתום ראשי פרט -אגף אלמנטרי,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת צוות תביעות גוף חובה,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתם.ת פרט מחוז ירושלים- זמני.ת עם אופציה,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
כלכלן.ית אנליסט.ית השקעות,מנורה מבטחים,,,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רפרנט/ית הפקה,מנורה מבטחים,,תפעול,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
"רכז.ת פרמיה ראשונה- החלפה לחל""ד",מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
"מיישב.ת תביעות מסלול אדום החלפה לחל""ד",מנורה מבטחים,,מיישבי תביעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת מחלקת אנליזה,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת דאטה אקטואריה,מנורה מבטחים,,אקטואריה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל.ת צוות תיאום פגישות,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רכז.ת גיוס וניוד,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתם.ת פרט מחוז מרכז,מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
חתם.ת עסקים - חיתום ראשי,מנורה מבטחים,,חתמים,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
נציג.ת שירות ללא ניסיון קודם,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
נציג.ת תיאום פגישות,מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
נציג.ת שירות מוקד פנסיה וגמל,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מנהל/ת תיק לקוח בתחום הביטוח,מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
יש לך את זה במכירות? הגיע הזמן לעשות מזה כסף !!,מנורה מבטחים,,מכירות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רכז.ת הצטרפויות  טלפוני,מנורה מבטחים,,שיווק פנסיוני,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רכז/ת שירות מעסיקים,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
רפרנט.ית שירות לסוכן,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
נציג.ת תביעות צוות סטטוס,מנורה מבטחים,,שירות לקוחות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אנליסט.ית בקרה – מטה אגף הבריאות,מנורה מבטחים,,מטה,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
אחראי.ת משמרת במחלקת תיאום פגישות,מנורה מבטחים,,שיווק פנסיוני,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
מיישב.ת תביעות בריאות,מנורה מבטחים,,מיישבי תביעות,,https://www.menoramivt.co.il/job-posting/open-position,2026-07-01,2026-07-01,menora
