title,company,location,date,url,department,workplace_type,level,source,position_type
System Integration Engineer,APPLIED_Impact_Logo_blue_header,רחובות,2026-06-09,https://hujicareer.co.il/jobs/system-integration-engineer/,,onsite,junior,huji,
System Integration Engineer,APPLIED_Impact_Logo_blue_header,רחובות,2026-06-09,https://hujicareer.co.il/jobs/global-product-support-gps-engineer/,,onsite,junior,huji,
Student Algorithm Developer – Machine Learning & Computer Vision,APPLIED_Impact_Logo_blue_header,רחובות,2026-06-09,https://hujicareer.co.il/jobs/student-algorithm-developer-machine-learning-computer-vision-2/,,onsite,junior,huji,
Software Student,APPLIED_Impact_Logo_blue_header,רחובות,2026-06-09,https://hujicareer.co.il/jobs/software-student/,,onsite,junior,huji,
Student Lab Assistant,APPLIED_Impact_Logo_blue_header,רחובות,2026-06-09,https://hujicareer.co.il/jobs/student-lab-assistant/,,onsite,junior,huji,
דרוש/ הסטודנט/ ית לרשות התאגידים מחלקת ועדת העיזבונות,MinistryOfJustice-300x239,ירושלים,2026-06-09,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%a8%d7%a9%d7%95%d7%aa-%d7%94%d7%aa%d7%90%d7%92%d7%99%d7%93%d7%99%d7%9d-%d7%9e%d7%97%d7%9c%d7%a7%d7%aa-%d7%95/,,onsite,junior,huji,
"דרוש/ה סטודנט/ית בספריית בית הספר לתלמידים מחו""ל ע""ש רוטברג.",HUJI Career,ירושלים,2026-06-09,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%91%d7%a1%d7%a4%d7%a8%d7%99%d7%99%d7%aa-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%9c%d7%aa%d7%9c%d7%9e%d7%99/,,onsite,junior,huji,
דרוש/ה סטודנט/ית לוועדת עיזבונות ברשות התאגידים,download (1),ירושלים,2026-06-08,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%95%d7%95%d7%a2%d7%93%d7%aa-%d7%a2%d7%99%d7%96%d7%91%d7%95%d7%a0%d7%95%d7%aa-%d7%91%d7%a8%d7%a9%d7%95%d7%aa/,,onsite,junior,huji,
לבורנט/ית .B. Sc. / M. Sc חצי משרה,c3,ירושלים,2026-06-08,https://hujicareer.co.il/jobs/%d7%9c%d7%91%d7%95%d7%a8%d7%a0%d7%98-%d7%99%d7%aa-b-sc-m-sc-%d7%97%d7%a6%d7%99-%d7%9e%d7%a9%d7%a8%d7%94/,,onsite,junior,huji,
איש/אשת מיזוג - האגף לבינוי ותשתיות,HUJI Career,ירושלים,2026-06-08,https://hujicareer.co.il/jobs/%d7%90%d7%99%d7%a9-%d7%90%d7%a9%d7%aa-%d7%9e%d7%99%d7%96%d7%95%d7%92-%d7%94%d7%90%d7%92%d7%a3-%d7%9c%d7%91%d7%99%d7%a0%d7%95%d7%99-%d7%95%d7%aa%d7%a9%d7%aa%d7%99%d7%95%d7%aa/,,onsite,junior,huji,
טכנאי/ת מערכות - האגף לבינוי ותשתיות,HUJI Career,ירושלים,2026-06-08,https://hujicareer.co.il/jobs/%d7%98%d7%9b%d7%a0%d7%90%d7%99-%d7%aa-%d7%9e%d7%a2%d7%a8%d7%9b%d7%95%d7%aa-%d7%94%d7%90%d7%92%d7%a3-%d7%9c%d7%91%d7%99%d7%a0%d7%95%d7%99-%d7%95%d7%aa%d7%a9%d7%aa%d7%99%d7%95%d7%aa-2/,,onsite,junior,huji,
מפתח/ת BI - האגף למחשוב - המח' למערכות מידע,HUJI Career,ירושלים,2026-06-08,https://hujicareer.co.il/jobs/%d7%9e%d7%a4%d7%aa%d7%97-%d7%aa-bi-%d7%94%d7%90%d7%92%d7%a3-%d7%9c%d7%9e%d7%97%d7%a9%d7%95%d7%91-%d7%94%d7%9e%d7%97-%d7%9c%d7%9e%d7%a2%d7%a8%d7%9b%d7%95%d7%aa-%d7%9e%d7%99%d7%93%d7%a2/,,onsite,junior,huji,
"רכז/ת מחלקה - המחלקה לתקשורת ועיתונאות, הפקולטה למדעי החברה",HUJI Career,ירושלים,2026-06-08,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%9e%d7%97%d7%9c%d7%a7%d7%94-%d7%94%d7%9e%d7%97%d7%9c%d7%a7%d7%94-%d7%9c%d7%aa%d7%a7%d7%a9%d7%95%d7%a8%d7%aa-%d7%95%d7%a2%d7%99%d7%aa%d7%95%d7%a0%d7%90%d7%95%d7%aa/,,onsite,junior,huji,
"למשרד התקשורת, לאגף ביטחון דרוש/ה סטודנט/ית",MinistryOfCom,ירושלים,2026-06-08,https://hujicareer.co.il/jobs/%d7%9c%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%aa%d7%a7%d7%a9%d7%95%d7%a8%d7%aa-%d7%9c%d7%90%d7%92%d7%a3-%d7%91%d7%99%d7%98%d7%97%d7%95%d7%9f-%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0/,,onsite,junior,huji,
רכז/ת פרויקט ERC - בית הספר לרוקחות,HUJI Career,ירושלים,2026-06-08,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%a4%d7%a8%d7%95%d7%99%d7%a7%d7%98-erc-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%9c%d7%a8%d7%95%d7%a7%d7%97%d7%95%d7%aa-2/,,onsite,junior,huji,
"דרושה עו""ס ברשות לשיקום האסיר",image001,,2026-06-08,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9%d7%94-%d7%a2%d7%95%d7%a1-%d7%91%d7%a8%d7%a9%d7%95%d7%aa-%d7%9c%d7%a9%d7%99%d7%a7%d7%95%d7%9d-%d7%94%d7%90%d7%a1%d7%99%d7%a8/,,onsite,junior,huji,
"לרשות ניירות ערך מחלקת חקירות, מודיעין ובקרת מסחר דרוש.ה חוקר.ת רו""ח",Logo_israel_securities_authority,תל אביב,2026-06-08,https://hujicareer.co.il/jobs/%d7%9c%d7%a8%d7%a9%d7%95%d7%aa-%d7%a0%d7%99%d7%99%d7%a8%d7%95%d7%aa-%d7%a2%d7%a8%d7%9a-%d7%9e%d7%97%d7%9c%d7%a7%d7%aa-%d7%97%d7%a7%d7%99%d7%a8%d7%95%d7%aa-%d7%9e%d7%95%d7%93%d7%99%d7%a2%d7%99%d7%9f/,,onsite,junior,huji,
דרוש/ה סטודנט/ית למכרז קיבוצי ל-2 משרות (חטיבת רפואה),HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9c%d7%9e%d7%9b%d7%a8%d7%96-%d7%a7%d7%99%d7%91%d7%95%d7%a6%d7%99-%d7%9c-2-%d7%9e%d7%a9%d7%a8%d7%95%d7%aa-%d7%97/,,onsite,junior,huji,
סטודנט/ית - טכנולוגיות רפואיות במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92%d7%99%d7%95%d7%aa-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%95%d7%aa-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91/,,onsite,junior,huji,
סטודנט/ית – אגף אפידמיולוגיה במשרד הבריאות,HUJI Career,ירושלים,2026-06-03,https://hujicareer.co.il/jobs/%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%90%d7%92%d7%a3-%d7%90%d7%a4%d7%99%d7%93%d7%9e%d7%99%d7%95%d7%9c%d7%95%d7%92%d7%99%d7%94-%d7%91%d7%9e%d7%a9%d7%a8%d7%93-%d7%94%d7%91/,,onsite,junior,huji,
